   POLL_ID,CO,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY
----------,--,---,---,-----,----------,----------------------------------------------------------------------------,------------------------------------------------------------,------------------------------------------------------------,--------------------,--,----------,----------,---,--,--,--,---,---,---,---,----------,-,----------,----------,-------,----------,-------------------------------------------------------,-----
1704,2,7,1,1,11305,Tracey's Elementary School,20 Deale Road,,Tracys Landing,MD,20779,1,30B,5,5,5,7,,,,2,S,1,0,,,,
1705,2,7,2,1,11306,Deale Elementary School,759 Masons Beach Road,,Deale,MD,-20751,1,30B,5,5,5,7,,,,2,S,1,1,,,,
1706,2,7,9,1,11079,Southern Middle School,5235 Solomons Island Road,,Lothian,MD,-20711,1,30B,5,5,5,7,,,,2,S,1,1,,,,
1707,2,5,1,1,11308,St. Margaret's Episcopal Church,1601 Pleasant Plains Road,,Annapolis,MD,21409,1,33,3,5,5,5,,,,2,C,1,1,,,,
1708,2,5,2,1,11309,Cape St. Claire Elementary School,931 Blue Ridge Drive,,Annapolis,MD,21409,1,33,3,5,5,5,,,,2,S,1,1,,,,
1709,2,5,3,1,11310,Arnold Senior Activity Center,44 Church Road,,Arnold,MD,-21012,1,33,4,5,5,5,,,,2,T,1,1,,,,
1710,2,5,4,1,11563,Belvedere Elementary School,360 Broadwater Road,,Arnold,MD,-21012,1,33,4,5,5,5,,,,2,S,1,1,,,,
1711,2,5,11,1,14265,Magothy River Middle School,241 Peninsula Farm Road,,Arnold,MD,21012,1,33,4,5,5,5,,,,2,S,1,1,,,,
1712,2,5,17,1,11313,Cape St. Claire Improvement Association,1223 River Bay Road,,Annapolis,MD,21409,1,33,3,5,5,5,,,,2,T,1,1,,,,
1713,2,5,18,1,11315,Broadneck High School,1265 Green Holly Drive,,Annapolis,MD,21409,1,33,3,5,5,5,,,,2,S,1,1,,,,
1714,2,5,20,1,14551,Gloria Dei Lutheran Church,461 College Parkway,,Arnold,MD,21012,1,30A,3,5,5,5,,,,2,C,,,,,,
1715,2,5,21,1,11565,CrossPointe Church,365 Jones Station Road,,Arnold,MD,-21012,1,33,4,5,5,5,,,,2,C,1,1,,,,
1716,2,5,22,1,11315,Broadneck High School,1265 Green Holly Drive,,Annapolis,MD,21409,1,33,3,5,5,5,,,,2,S,1,1,,,,
1717,2,5,23,1,10095,Jones Elementary School,122 Hoyle Lane,,Severna Park,MD,-21146,1,33,4,5,5,5,,,,2,S,1,1,,,,
1718,2,6,1,1,11317,Bates Middle School,701 Chase Street,,Annapolis,MD,-21401,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1719,2,6,2,1,11318,Germantown Elementary School,200 Windell Avenue,,Annapolis,MD,-21401,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1720,2,6,3,1,14490,Phoenix Academy,1411 Cedar Park Road,,Annapolis,MD,21401,1,30A,3,5,5,6,,,,2,O,,,,,,
1721,2,6,4,1,10014,Heritage Baptist Church,1740 Forest Drive,,Annapolis,MD,-21401,1,30A,3,5,5,6,,,,2,C,1,1,,,,
1722,2,6,5,1,10015,Annapolis Middle School,1399 Forest Drive,,Annapolis,MD,-21403,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1723,2,6,6,1,14877,"Roger ""Pip"" Moyer Recreation Center",273 Hilltop Lane,,Annapolis,MD,21403,1,30A,3,5,5,6,,,,2,T,,,,,,
1724,2,6,7,1,10017,Georgetown East Elementary School,111 Dogwood Road,,Annapolis,MD,-21403,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1725,2,6,18,1,10018,Eastport Elementary School      `,420 Fifth Street,,Annapolis,MD,-21403,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1726,2,6,9,1,10015,Annapolis Middle School,1399 Forest Drive,,Annapolis,MD,-21403,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1728,2,6,11,1,11317,Bates Middle School,701 Chase Street,,Annapolis,MD,-21401,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1729,2,6,12,1,14884,West Annapolis Elementary School,505 Melvin Avenue,,Annapolis,MD,21401,1,30A,3,5,5,6,,,,2,S,1,1,,,,
1730,2,4,12,1,14879,Odenton Baptist Church,8410 Piney Orchard Parkway,,Odenton,MD,21113,1,21,3,5,5,4,,,,2,C,,,,,,
1731,2,6,15,1,10022,Salvation Army - Annapolis,351 Hilltop Lane,,Annapolis,MD,-21403,1,30A,3,5,5,6,,,,2,O,1,1,,,,
