POLL_ID,CO...2,ELE,PRE,PART,PPLACEID,POLL_NAME,ADDRESS1,ADDRESS2,CITY,ST,ZIP,T_ACCESS,LEG,CO...15,JU,AP,CON,SCH,ORP,CEN,REPORTED,B,ISPUBLIC,OFFSPARK,MUNI,COLLEGE,COLLEGE_NAME,EARLY,fulladdress,lon,lat,address
1745,2,1,4,1,11572,Brooklyn Park Middle School,200 Hammonds Lane,NA,Baltimore,MD,-21225,1,31A,2,5,5,1,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,200 Hammonds Lane Baltimore MD -21225,-76.61980330000002,39.2163008,"200 hammonds ln, brooklyn, md 21225, usa"
1746,2,1,13,1,14413,Belle Grove Elementary School,4502 Belle Grove Road,NA,Baltimore,MD,21225,1,31A,2,5,5,1,NA,NA,NA,2,S,NA,NA,NA,NA,NA,NA,4502 Belle Grove Road Baltimore MD 21225,-76.6219014,39.229596,"4502 belle grove rd, brooklyn, md 21225, usa"
1747,2,1,15,1,10037,Brooklyn Park Elementary School,200 14th Avenue,NA,Baltimore,MD,-21225,1,31A,2,5,5,1,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,200 14th Avenue Baltimore MD -21225,-76.6174989,39.2219907,"200 14th ave, baltimore, md 21225, usa"
1748,2,1,16,1,10038,Brooklyn Park Community Library,1 11th Avenue East,NA,Baltimore,MD,-21225,1,31A,2,5,5,1,NA,NA,NA,2,O,1,1,NA,NA,NA,NA,1 11th Avenue East Baltimore MD -21225,-76.6118919,39.2230766,"1 w 11th ave, brooklyn park, md 21225, usa"
1749,2,1,17,1,10036,Park Elementary School,201 11th Avenue East,NA,Baltimore,MD,21225,1,31A,2,5,5,1,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,201 11th Avenue East Baltimore MD 21225,-76.6169243,39.2240421,"201 w 11th ave, baltimore, md 21225, usa"
1750,2,1,18,1,11572,Brooklyn Park Middle School,200 Hammonds Lane,NA,Baltimore,MD,-21225,1,31A,2,5,5,1,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,200 Hammonds Lane Baltimore MD -21225,-76.61980330000002,39.2163008,"200 hammonds ln, brooklyn, md 21225, usa"
1833,3,3,2,1,10115,School No. 8 City Springs Elem/Middle,100 S. Caroline Street,NA,Baltimore,MD,-21231,1,46,7,8,6,12,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,100 S. Caroline Street Baltimore MD -21231,-76.5974931,39.2898428,"100 s caroline st, baltimore, md 21231, usa"
1834,3,27,16,1,10116,School No. 212,2800 Ailsa Avenue,NA,Baltimore,MD,-21214,1,43,7,8,6,3,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,2800 Ailsa Avenue Baltimore MD -21214,-76.56941309999999,39.34923920000001,"2800 ailsa ave, baltimore, md 21214, usa"
1835,3,27,18,1,10117,Engine House No. 42,4522 Harford Road,NA,Baltimore,MD,21214,1,43,7,8,6,3,NA,NA,NA,2,F,1,1,NA,NA,NA,NA,4522 Harford Road Baltimore MD 21214,-76.5714893,39.3416004,"4522 harford rd, baltimore, md 21214, usa"
1836,3,27,21,1,10118,School No. 219,5931 Yorkwood Road,NA,Baltimore,MD,-21239,1,43,7,8,6,4,NA,NA,NA,2,S,1,1,NA,NA,NA,NA,5931 Yorkwood Road Baltimore MD -21239,-76.5809709,39.3633272,"5931 yorkwood rd, baltimore, md 21239, usa"
