abbreviation,precinct,precinct_no_lead,registered_voters,registered_cast,registered_turnout_perc
0101,001001,1001,1427,1642,115
0102,001002,1002,1962,1346,68
0103,001003,1003,1595,1303,81
0104,001004,1004,2272,1687,74
0105,001005,1005,2862,2202,76
0201,002001,2001,1094,727,66
0202,002002,2002,1626,1138,69
0203,002003,2003,2532,1656,65
0301,003001,3001,1297,456,35
0302,003002,3002,752,323,42
0303,003003,3003,1995,1430,71
0401,004001,4001,1314,993,75
0402,004002,4002,2545,1530,60
0403,004003,4003,532,267,50
0501,005001,5001,1326,546,41
0502,005002,5002,121,72,59
0601,006001,6001,1201,516,42
0602,006002,6002,744,368,49
0603,006003,6003,469,259,55
0604,006004,6004,1184,801,67
0605,006005,6005,2613,1768,67
0701,007001,7001,1064,518,48
0702,007002,7002,299,180,60
0703,007003,7003,2067,905,43
0704,007004,7004,1985,824,41
0801,008001,8001,78,64,82
0802,008002,8002,1393,775,55
0803,008003,8003,1646,764,46
0804,008004,8004,391,180,46
0805,008005,8005,1478,678,45
0806,008006,8006,2070,1011,48
0807,008007,8007,1387,516,37
0808,008008,8008,911,689,75
0809,008009,8009,72,40,55
0810,008010,8010,2701,1374,50
0811,008011,8011,458,222,48
0901,009001,9001,686,362,52
0902,009002,9002,957,515,53
0903,009003,9003,1276,776,60
0904,009004,9004,2088,1955,93
0905,009005,9005,1656,1176,71
0906,009006,9006,1894,1288,68
0907,009007,9007,1714,913,53
0908,009008,9008,1221,565,46
0909,009009,9009,820,437,53
0910,009010,9010,1160,610,52
0911,009011,9011,290,118,40
0912,009012,9012,1359,670,49
0913,009013,9013,484,207,42
0914,009014,9014,1370,598,43
0915,009015,9015,1588,737,46
1001,010001,10001,1014,560,55
1002,010002,10002,1078,529,49
1003,010003,10003,588,164,27
1004,010004,10004,613,273,44
1101,011001,11001,1497,1170,78
1102,011002,11002,455,275,60
1103,011003,11003,1439,1019,70
1104,011004,11004,78,39,50
1105,011005,11005,1486,901,60
1106,011006,11006,2398,1511,63
1107,011007,11007,1374,1006,73
1201,012001,12001,2588,1954,75
1202,012002,12002,254,192,75
1203,012003,12003,653,488,74
1204,012004,12004,1411,713,50
1205,012005,12005,1116,761,68
1206,012006,12006,820,587,71
1207,012007,12007,1423,887,62
1208,012008,12008,1342,960,71
1209,012009,12009,1838,1178,64
1210,012010,12010,1550,817,52
1211,012011,12011,962,512,53
1212,012012,12012,1606,1016,63
1301,013001,13001,1292,1002,77
1302,013002,13002,1214,908,74
1303,013003,13003,2180,1646,75
1304,013004,13004,1121,869,77
1305,013005,13005,926,661,71
1306,013006,13006,589,300,50
1307,013007,13007,1305,596,45
1308,013008,13008,1618,940,58
1309,013009,13009,1136,630,55
1310,013010,13010,1422,914,64
1311,013011,13011,2091,1631,78
1312,013012,13012,1594,1247,78
1313,013013,13013,101,84,83
1401,014001,14001,876,589,67
1402,014002,14002,838,553,65
1403,014003,14003,779,370,47
1404,014004,14004,2217,1186,53
1405,014005,14005,423,189,44
1501,015001,15001,1414,817,57
1502,015002,15002,855,524,61
1503,015003,15003,2278,1373,60
1504,015004,15004,746,484,64
1505,015005,15005,1217,823,67
1506,015006,15006,1684,966,57
1507,015007,15007,1381,773,55
1508,015008,15008,670,485,72
1509,015009,15009,2485,1305,52
1510,015010,15010,1349,820,60
1511,015011,15011,1241,651,52
1512,015012,15012,288,117,40
1513,015013,15013,733,345,47
1514,015014,15014,1286,736,57
1515,015015,15015,737,326,44
1516,015016,15016,697,339,48
1517,015017,15017,1478,665,44
1518,015018,15018,2554,1098,42
1519,015019,15019,74,34,45
1520,015020,15020,2213,1077,48
1521,015021,15021,1053,588,55
1522,015022,15022,1174,508,43
1523,015023,15023,1616,771,47
1524,015024,15024,1742,876,50
1525,015025,15025,772,308,39
1601,016001,16001,718,328,45
1602,016002,16002,1088,500,45
1603,016003,16003,760,304,40
1604,016004,16004,504,198,39
1605,016005,16005,1593,785,49
1606,016006,16006,1486,789,53
1607,016007,16007,1273,667,52
1608,016008,16008,849,415,48
1609,016009,16009,1302,597,45
1610,016010,16010,805,376,46
1611,016011,16011,644,332,51
1612,016012,16012,1480,722,48
1613,016013,16013,1567,803,51
1614,016014,16014,2812,1611,57
1701,017001,17001,172,88,51
1702,017002,17002,2600,1346,51
1801,018001,18001,917,395,43
1802,018002,18002,1687,793,47
1901,019001,19001,1147,536,46
1902,019002,19002,1798,755,41
1903,019003,19003,173,78,45
2001,020001,20001,1462,643,43
2002,020002,20002,642,266,41
2003,020003,20003,1632,732,44
2004,020004,20004,201,118,58
2005,020005,20005,939,464,49
2006,020006,20006,2860,1556,54
2007,020007,20007,1963,1048,53
2008,020008,20008,624,341,54
2009,020009,20009,607,275,45
2010,020010,20010,471,181,38
2011,020011,20011,1277,404,31
2101,021001,21001,833,574,68
2102,021002,21002,1439,969,67
2103,021003,21003,1787,915,51
2104,021004,21004,449,302,67
2201,022001,22001,1276,976,76
2202,022002,22002,1442,1076,74
2301,023001,23001,1339,966,72
2302,023002,23002,1175,786,66
2303,023003,23003,2007,1412,70
2401,024001,24001,663,547,82
2402,024002,24002,850,624,73
2403,024003,24003,1723,1378,79
2404,024004,24004,2437,1882,77
2405,024005,24005,3619,3017,83
2501,025001,25001,2734,1740,63
2502,025002,25002,1891,1082,57
2503,025003,25003,1622,1053,64
2504,025004,25004,2308,1127,48
2505,025005,25005,1869,908,48
2506,025006,25006,920,465,50
2507,025007,25007,449,197,43
2508,025008,25008,2143,931,43
2509,025009,25009,1150,543,47
2510,025010,25010,1227,670,54
2511,025011,25011,589,263,44
2512,025012,25012,1234,519,42
2513,025013,25013,751,304,40
2514,025014,25014,1032,401,38
2515,025015,25015,1048,496,47
2516,025016,25016,1443,2039,141
2517,025017,25017,379,198,52
2518,025018,25018,228,143,62
2601,026001,26001,296,136,45
2602,026002,26002,1488,684,45
2603,026003,26003,1230,648,52
2604,026004,26004,866,457,52
2605,026005,26005,454,263,57
2606,026006,26006,911,471,51
2607,026007,26007,1348,873,64
2608,026008,26008,1363,1112,81
2609,026009,26009,2888,2187,75
2610,026010,26010,2007,1176,58
2611,026011,26011,875,402,45
2612,026012,26012,516,204,39
2613,026013,26013,786,366,46
2614,026014,26014,716,292,40
2615,026015,26015,1555,891,57
2616,026016,26016,1243,716,57
2617,026017,26017,551,304,55
2618,026018,26018,1056,647,61
2619,026019,26019,1402,776,55
2620,026020,26020,745,389,52
2621,026021,26021,928,485,52
2622,026022,26022,720,425,59
2623,026023,26023,1151,653,56
2624,026024,26024,2033,1226,60
2625,026025,26025,1511,784,51
2626,026026,26026,1688,1021,60
2627,026027,26027,1369,881,64
2628,026028,26028,1155,739,63
2629,026029,26029,4054,2437,60
2630,026030,26030,918,586,63
2631,026031,26031,784,510,65
2632,026032,26032,1743,960,55
2633,026033,26033,1532,888,57
