abbreviation,precinct,precinct_no_lead,registered_turnout_perc
0101,001001,1001,37.79
0102,001002,1002,39.62
0103,001003,1003,34.09
0104,001004,1004,38.98
0105,001005,1005,43.17
0201,002001,2001,34.28
0202,002002,2002,38.33
0203,002003,2003,38.78
0301,003001,3001,25.40
0302,003002,3002,26.44
0303,003003,3003,40.73
0401,004001,4001,32.65
0402,004002,4002,31.09
0403,004003,4003,33.77
0501,005001,5001,20.56
0502,005002,5002,35.94
0601,006001,6001,23.57
0602,006002,6002,25.35
0603,006003,6003,34.26
0604,006004,6004,40.24
0605,006005,6005,33.74
0701,007001,7001,22.89
0702,007002,7002,30.96
0703,007003,7003,25.55
0704,007004,7004,22.38
0801,008001,8001,44.44
0802,008002,8002,26.12
0803,008003,8003,27.01
0804,008004,8004,24.13
0805,008005,8005,28.26
0806,008006,8006,31.69
0807,008007,8007,27.02
0808,008008,8008,53.67
0809,008009,8009,35.85
0810,008010,8010,28.19
0811,008011,8011,27.43
0901,009001,9001,25.08
0902,009002,9002,30.00
0903,009003,9003,32.74
0904,009004,9004,35.29
0905,009005,9005,31.82
0906,009006,9006,32.18
0907,009007,9007,30.36
0908,009008,9008,26.00
0909,009009,9009,31.24
0910,009010,9010,34.87
0911,009011,9011,17.84
0912,009012,9012,28.13
0913,009013,9013,21.44
0914,009014,9014,29.68
0915,009015,9015,26.95
1001,010001,10001,34.20
1002,010002,10002,32.74
1003,010003,10003,8.84
1004,010004,10004,35.29
1101,011001,11001,49.21
1102,011002,11002,49.18
1103,011003,11003,47.50
1104,011004,11004,36.36
1105,011005,11005,34.33
1106,011006,11006,45.03
1107,011007,11007,53.29
1201,012001,12001,49.31
1202,012002,12002,45.97
1203,012003,12003,56.94
1204,012004,12004,39.19
1205,012005,12005,51.89
1206,012006,12006,52.41
1207,012007,12007,39.67
1208,012008,12008,57.46
1209,012009,12009,38.63
1210,012010,12010,31.54
1211,012011,12011,36.31
1212,012012,12012,36.86
1301,013001,13001,50.71
1302,013002,13002,47.42
1303,013003,13003,48.27
1304,013004,13004,50.92
1305,013005,13005,43.74
1306,013006,13006,39.12
1307,013007,13007,29.17
1308,013008,13008,35.03
1309,013009,13009,26.03
1310,013010,13010,37.84
1311,013011,13011,50.53
1312,013012,13012,53.94
1313,013013,13013,64.79
1401,014001,14001,53.90
1402,014002,14002,38.51
1403,014003,14003,26.99
1404,014004,14004,37.74
1405,014005,14005,27.14
1501,015001,15001,28.04
1502,015002,15002,28.32
1503,015003,15003,30.49
1504,015004,15004,34.12
1505,015005,15005,34.47
1506,015006,15006,33.74
1507,015007,15007,31.22
1508,015008,15008,40.73
1509,015009,15009,27.63
1510,015010,15010,33.65
1511,015011,15011,27.76
1512,015012,15012,21.05
1513,015013,15013,23.55
1514,015014,15014,31.79
1515,015015,15015,23.00
1516,015016,15016,27.84
1517,015017,15017,31.61
1518,015018,15018,26.81
1519,015019,15019,36.76
1520,015020,15020,28.07
1521,015021,15021,25.73
1522,015022,15022,28.56
1523,015023,15023,26.88
1524,015024,15024,22.79
1525,015025,15025,22.94
1601,016001,16001,26.91
1602,016002,16002,25.93
1603,016003,16003,27.36
1604,016004,16004,25.97
1605,016005,16005,28.05
