abbreviation,precinct,precinct_no_lead,registered_voters,registered_cast,registered_turnout_perc
0101,001001,1001,1427,1642,115.07
0102,001002,1002,1962,1346,68.60
0103,001003,1003,1595,1303,81.69
0104,001004,1004,2272,1687,74.25
0105,001005,1005,2862,2202,76.94
0201,002001,2001,1094,727,66.45
0202,002002,2002,1626,1138,69.99
0203,002003,2003,2532,1656,65.40
0301,003001,3001,1297,456,35.16
0302,003002,3002,752,323,42.95
0303,003003,3003,1995,1430,71.68
0401,004001,4001,1314,993,75.57
0402,004002,4002,2545,1530,60.12
0403,004003,4003,532,267,50.19
0501,005001,5001,1326,546,41.18
0502,005002,5002,121,72,59.50
0601,006001,6001,1201,516,42.96
0602,006002,6002,744,368,49.46
0603,006003,6003,469,259,55.22
0604,006004,6004,1184,801,67.65
0605,006005,6005,2613,1768,67.66
0701,007001,7001,1064,518,48.68
0702,007002,7002,299,180,60.20
0703,007003,7003,2067,905,43.78
0704,007004,7004,1985,824,41.51
0801,008001,8001,78,64,82.05
0802,008002,8002,1393,775,55.64
0803,008003,8003,1646,764,46.42
0804,008004,8004,391,180,46.04
0805,008005,8005,1478,678,45.87
0806,008006,8006,2070,1011,48.84
0807,008007,8007,1387,516,37.20
0808,008008,8008,911,689,75.63
0809,008009,8009,72,40,55.56
0810,008010,8010,2701,1374,50.87
0811,008011,8011,458,222,48.47
0901,009001,9001,686,362,52.77
0902,009002,9002,957,515,53.81
0903,009003,9003,1276,776,60.82
0904,009004,9004,2088,1955,93.63
0905,009005,9005,1656,1176,71.01
0906,009006,9006,1894,1288,68.00
0907,009007,9007,1714,913,53.27
0908,009008,9008,1221,565,46.27
0909,009009,9009,820,437,53.29
0910,009010,9010,1160,610,52.59
0911,009011,9011,290,118,40.69
0912,009012,9012,1359,670,49.30
0913,009013,9013,484,207,42.77
0914,009014,9014,1370,598,43.65
0915,009015,9015,1588,737,46.41
1001,010001,10001,1014,560,55.23
1002,010002,10002,1078,529,49.07
1003,010003,10003,588,164,27.89
1004,010004,10004,613,273,44.54
1101,011001,11001,1497,1170,78.16
1102,011002,11002,455,275,60.44
1103,011003,11003,1439,1019,70.81
1104,011004,11004,78,39,50.00
1105,011005,11005,1486,901,60.63
1106,011006,11006,2398,1511,63.01
1107,011007,11007,1374,1006,73.22
1201,012001,12001,2588,1954,75.50
1202,012002,12002,254,192,75.59
1203,012003,12003,653,488,74.73
1204,012004,12004,1411,713,50.53
1205,012005,12005,1116,761,68.19
1206,012006,12006,820,587,71.59
1207,012007,12007,1423,887,62.33
1208,012008,12008,1342,960,71.54
1209,012009,12009,1838,1178,64.09
1210,012010,12010,1550,817,52.71
1211,012011,12011,962,512,53.22
1212,012012,12012,1606,1016,63.26
1301,013001,13001,1292,1002,77.55
1302,013002,13002,1214,908,74.79
1303,013003,13003,2180,1646,75.50
1304,013004,13004,1121,869,77.52
1305,013005,13005,926,661,71.38
1306,013006,13006,589,300,50.93
1307,013007,13007,1305,596,45.67
1308,013008,13008,1618,940,58.10
1309,013009,13009,1136,630,55.46
1310,013010,13010,1422,914,64.28
1311,013011,13011,2091,1631,78.00
1312,013012,13012,1594,1247,78.23
1313,013013,13013,101,84,83.17
1401,014001,14001,876,589,67.24
1402,014002,14002,838,553,65.99
1403,014003,14003,779,370,47.50
1404,014004,14004,2217,1186,53.50
1405,014005,14005,423,189,44.68
1501,015001,15001,1414,817,57.78
1502,015002,15002,855,524,61.29
1503,015003,15003,2278,1373,60.27
1504,015004,15004,746,484,64.88
1505,015005,15005,1217,823,67.63
1506,015006,15006,1684,966,57.36
1507,015007,15007,1381,773,55.97
1508,015008,15008,670,485,72.39
1509,015009,15009,2485,1305,52.52
1510,015010,15010,1349,820,60.79
1511,015011,15011,1241,651,52.46
1512,015012,15012,288,117,40.63
1513,015013,15013,733,345,47.07
1514,015014,15014,1286,736,57.23
1515,015015,15015,737,326,44.23
1516,015016,15016,697,339,48.64
1517,015017,15017,1478,665,44.99
1518,015018,15018,2554,1098,42.99
1519,015019,15019,74,34,45.95
1520,015020,15020,2213,1077,48.67
1521,015021,15021,1053,588,55.84
1522,015022,15022,1174,508,43.27
1523,015023,15023,1616,771,47.71
1524,015024,15024,1742,876,50.29
1525,015025,15025,772,308,39.90
1601,016001,16001,718,328,45.68
1602,016002,16002,1088,500,45.96
1603,016003,16003,760,304,40.00
1604,016004,16004,504,198,39.29
1605,016005,16005,1593,785,49.28
1606,016006,16006,1486,789,53.10
1607,016007,16007,1273,667,52.40
1608,016008,16008,849,415,48.88
1609,016009,16009,1302,597,45.85
1610,016010,16010,805,376,46.71
1611,016011,16011,644,332,51.55
1612,016012,16012,1480,722,48.78
1613,016013,16013,1567,803,51.24
1614,016014,16014,2812,1611,57.29
1701,017001,17001,172,88,51.16
1702,017002,17002,2600,1346,51.77
1801,018001,18001,917,395,43.08
1802,018002,18002,1687,793,47.01
1901,019001,19001,1147,536,46.73
1902,019002,19002,1798,755,41.99
1903,019003,19003,173,78,45.09
2001,020001,20001,1462,643,43.98
2002,020002,20002,642,266,41.43
2003,020003,20003,1632,732,44.85
2004,020004,20004,201,118,58.71
2005,020005,20005,939,464,49.41
2006,020006,20006,2860,1556,54.41
2007,020007,20007,1963,1048,53.39
2008,020008,20008,624,341,54.65
2009,020009,20009,607,275,45.30
2010,020010,20010,471,181,38.43
2011,020011,20011,1277,404,31.64
2101,021001,21001,833,574,68.91
2102,021002,21002,1439,969,67.34
2103,021003,21003,1787,915,51.20
2104,021004,21004,449,302,67.26
2201,022001,22001,1276,976,76.49
2202,022002,22002,1442,1076,74.62
2301,023001,23001,1339,966,72.14
2302,023002,23002,1175,786,66.89
2303,023003,23003,2007,1412,70.35
2401,024001,24001,663,547,82.50
2402,024002,24002,850,624,73.41
2403,024003,24003,1723,1378,79.98
2404,024004,24004,2437,1882,77.23
2405,024005,24005,3619,3017,83.37
2501,025001,25001,2734,1740,63.64
2502,025002,25002,1891,1082,57.22
2503,025003,25003,1622,1053,64.92
2504,025004,25004,2308,1127,48.83
2505,025005,25005,1869,908,48.58
2506,025006,25006,920,465,50.54
2507,025007,25007,449,197,43.88
2508,025008,25008,2143,931,43.44
2509,025009,25009,1150,543,47.22
2510,025010,25010,1227,670,54.60
2511,025011,25011,589,263,44.65
2512,025012,25012,1234,519,42.06
2513,025013,25013,751,304,40.48
2514,025014,25014,1032,401,38.86
2515,025015,25015,1048,496,47.33
2516,025016,25016,1443,2039,141.30
2517,025017,25017,379,198,52.24
2518,025018,25018,228,143,62.72
2601,026001,26001,296,136,45.95
2602,026002,26002,1488,684,45.97
2603,026003,26003,1230,648,52.68
2604,026004,26004,866,457,52.77
2605,026005,26005,454,263,57.93
2606,026006,26006,911,471,51.70
2607,026007,26007,1348,873,64.76
2608,026008,26008,1363,1112,81.58
2609,026009,26009,2888,2187,75.73
2610,026010,26010,2007,1176,58.59
2611,026011,26011,875,402,45.94
2612,026012,26012,516,204,39.53
2613,026013,26013,786,366,46.56
2614,026014,26014,716,292,40.78
2615,026015,26015,1555,891,57.30
2616,026016,26016,1243,716,57.60
2617,026017,26017,551,304,55.17
2618,026018,26018,1056,647,61.27
2619,026019,26019,1402,776,55.35
2620,026020,26020,745,389,52.21
2621,026021,26021,928,485,52.26
2622,026022,26022,720,425,59.03
2623,026023,26023,1151,653,56.73
2624,026024,26024,2033,1226,60.30
2625,026025,26025,1511,784,51.89
2626,026026,26026,1688,1021,60.49
2627,026027,26027,1369,881,64.35
2628,026028,26028,1155,739,63.98
2629,026029,26029,4054,2437,60.11
2630,026030,26030,918,586,63.83
2631,026031,26031,784,510,65.05
2632,026032,26032,1743,960,55.08
2633,026033,26033,1532,888,57.96
2701,027001,27001,2103,1383,65.76
2702,027002,27002,622,512,82.32
2703,027003,27003,635,461,72.60
2704,027004,27004,569,372,65.38
2705,027005,27005,2316,1559,67.31
2706,027006,27006,2940,1881,63.98
2707,027007,27007,1213,708,58.37
2708,027008,27008,2386,1546,64.79
2709,027009,27009,1429,972,68.02
2710,027010,27010,700,473,67.57
2711,027011,27011,2378,1518,63.84
2712,027012,27012,585,391,66.84
2713,027013,27013,2786,1571,56.39
2714,027014,27014,2479,1684,67.93
2715,027015,27015,2015,1317,65.36
2716,027016,27016,671,473,70.49
2717,027017,27017,1177,812,68.99
2718,027018,27018,1975,1130,57.22
2719,027019,27019,727,432,59.42
2720,027020,27020,2280,1550,67.98
2721,027021,27021,2326,1564,67.24
2722,027022,27022,2531,1696,67.01
2723,027023,27023,577,401,69.50
2724,027024,27024,607,358,58.98
2725,027025,27025,1257,810,64.44
2726,027026,27026,805,559,69.44
2727,027027,27027,1618,1056,65.27
2728,027028,27028,1265,767,60.63
2729,027029,27029,895,531,59.33
2730,027030,27030,1417,870,61.40
2731,027031,27031,2186,1447,66.19
2732,027032,27032,2316,1596,68.91
2733,027033,27033,2329,1567,67.28
2734,027034,27034,1422,755,53.09
2735,027035,27035,2814,1528,54.30
2736,027036,27036,920,448,48.70
2737,027037,27037,704,516,73.30
2738,027038,27038,1413,872,61.71
